Dimensionless speed,Relative stride length
0.38926,1.36214
0.57208,1.71626
0.61811,2.06249
0.67869,1.89335
0.70448,1.25493
0.81975,2.27818
1.06313,2.44779
1.07424,2.21704
1.13949,2.74021
1.18082,2.37874
1.23052,2.61728
1.23452,2.77882
1.42042,2.56372
1.48481,2.40228
1.49292,2.80999
1.70156,2.54877
1.73203,2.61036
1.7439,2.9873
1.7484,3.53346
1.97569,3.00304
2.04763,2.81084
2.09359,3.09553
2.26134,3.55733
2.50785,3.19617
3.69334,6.25953
3.81878,6.30588
4.04686,6.39853
4.67051,6.83795
4.7311,6.67651
4.87968,6.99212